"TIME","GEO","GEO_LABEL","INDIC_DE","Value"
"2001","EL","Greece","Population on 1 January - total ","10 835 989"
"2001","EL","Greece","Live births - total","102 282"
"2001","EL","Greece","Deaths - total","102 559"
"2001","EL","Greece","Natural change of population","-277"
"2001","EL","Greece","Net migration plus statistical adjustment","52 562"
"2001","EL","Greece","Total population change","52 285"
"2001","EL","Greece","Crude birth rate","9.4"
"2001","EL","Greece","Crude death rate ","9.4"
"2001","EL","Greece","Crude rate of natural change of population","0.0"
"2001","EL","Greece","Crude rate of net migration plus statistical adjustment","4.8"
"2001","EL","Greece","Crude rate of total population change","4.8"
"2001","ES","Spain","Population on 1 January - total ","40 665 545"
"2001","ES","Spain","Live births - total","405 313"
